epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,12594.5,1.29218,0.61883,1.01699,0.89651,0.8534,0.91894,0.56243,1.26535,0.59147,1.00299,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12706.1,1.28033,0.61571,1.01517,0.89647,0.85516,0.91958,0.56236,1.26455,0.59121,1.00276,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12818.5,1.2793,0.61346,1.01671,0.89561,0.85516,0.91937,0.56241,1.26439,0.59062,1.00268,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12931.5,1.27678,0.61191,1.01297,0.89573,0.85512,0.91915,0.56304,1.26353,0.59011,1.00241,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13043.4,1.27696,0.61463,1.0123,0.89562,0.8547,0.91913,0.56307,1.26309,0.58978,1.00227,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,13155.7,1.27151,0.6103,1.00998,0.89449,0.8566,0.9193,0.56356,1.26272,0.58959,1.00205,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,13267.9,1.27099,0.61064,1.00834,0.89424,0.8571,0.91945,0.56383,1.26228,0.58939,1.00187,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13379.5,1.26306,0.60504,1.00605,0.89503,0.85652,0.91949,0.56383,1.26165,0.58883,1.0016,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13491.5,1.25118,0.60014,1.00821,0.89439,0.85776,0.91982,0.56382,1.26146,0.58876,1.00152,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13603.8,1.25951,0.60437,1.00463,0.89502,0.85644,0.91982,0.56385,1.26126,0.58846,1.0014,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13739.6,1.21975,0.55576,1.0046,0.89624,0.85627,0.92004,0.56426,1.26103,0.58841,1.00129,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13849.6,1.21112,0.55235,1.00098,0.89684,0.85586,0.9201,0.56418,1.2607,0.58797,1.00112,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13958.5,1.20157,0.55024,0.99947,0.89648,0.85635,0.9203,0.56431,1.2604,0.58761,1.00126,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,14068.2,1.19495,0.54632,0.998,0.89659,0.85578,0.92007,0.56442,1.25972,0.58729,1.00108,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14177.8,1.18352,0.54068,0.99407,0.89605,0.85594,0.92041,0.56454,1.25941,0.58703,1.00085,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14287.7,1.18411,0.54139,0.99144,0.8958,0.85541,0.92042,0.56452,1.25875,0.58696,1.00072,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14397.1,1.17806,0.53704,0.99049,0.89617,0.85479,0.92049,0.56478,1.25837,0.58671,1.00075,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14506.9,1.17466,0.53594,0.9886,0.89574,0.85491,0.92031,0.56486,1.25826,0.58664,1.00082,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,14617.2,1.16937,0.53343,0.98479,0.89589,0.85503,0.92032,0.56488,1.25826,0.58664,1.00089,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,14726.7,1.1719,0.53449,0.98649,0.89583,0.8552,0.92031,0.56487,1.25836,0.58629,1.00092,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
